, ,q,w,e,r,t,y,u,i,o,p,a,s,d,f,g,h,j,k,l,;,z,x,c,v,b,n,m,",",.,/
 ,15937855105,195056067,4638390461,2142108028,2441597601,12164315875,1419308295,1082442504,5818450349,5175262739,3609974777,9723964798,6275625317,2689096201,3550975298,1602355450,3157969933,545400361,513557968,2178811259,127554326,53324841,43133870,4503957900,734419479,3711548876,1714686100,3382514806,364321229,487834644,82095753
q,12729312,308002,586402,483314,712697,712811,80559,398639889,3161208,442164,331613,3356552,1014225,247331,378732,131093,214962,73294,67556,2395416,2029800,62139,148086,575537,326664,901753,203637,496761,1279180,3102101,179144
w,735642677,152266,34394960,1200604260,98351248,18572520,11245058,2802268,1397116725,724395595,3836578,1123119977,147429205,14630408,5646757,1367278,1028067670,519076,5473295,41408226,5315238,230979,590245,6836958,665506,7480195,257105745,5159698,45815642,59178499,5096569
e,14173780185,124260298,438822834,1269199466,5990121323,1428979217,480627274,84028497,498873622,259838818,503510118,2446399161,4014507373,3114794742,418748682,358870886,85159356,10727065,103670454,1674178575,81279654,22949237,618238202,1405119457,799662353,171901976,4047938721,1036482743,577117103,633023273,43060107
r,4779852666,3610747,46903733,5627498048,331049184,1152100849,738102641,398089598,2114390049,2282494098,111029769,1964067169,1364379829,581698962,119702852,299668557,36783680,2772281,394481384,253672724,26552901,3996818,2346133,348277225,225298693,79551605,474448681,458226263,270173764,250495572,17826238
t,7219757124,785022,226215572,3603683062,1227590455,565565952,655691134,711080257,3656488191,3590115338,36290615,1667170678,1103715338,16040547,36721015,10268680,9315790720,1303852,3412244,286514610,37454982,14620446,3090679,153164222,17463865,26616103,52871182,101742217,327482033,369838781,33316847
y,4247515037,213865,23514033,377423552,28950845,64983155,1326500,10330095,110705340,1221140262,74465614,71691085,325746688,22916734,5677637,7111841,2803065,562925,2338513,64518150,27595931,5736277,701233,39880045,1818504,33584539,41258663,64186455,335055617,281102415,19420623
u,747332488,1444774,2489845,424930068,1928762782,1346985955,49131624,4119363,336913221,24420754,503113029,373351272,1507931595,310373477,57244607,380317204,6030171,3318369,32315966,926254694,1854100,11379897,15327775,506428495,11160422,242383645,1228195690,393723624,18605709,47606041,4821452
i,865329046,38816988,4549773,1134528986,942738458,3480571544,6386627,42674301,26198568,2060682787,318057773,797529249,3143530515,1017993350,625397503,844882856,8143718,9159751,231695655,1585713692,4263373,195146947,65802275,1966176205,825636623,241884795,7753130124,885933219,27176217,22504838,2621635
o,3649069754,2199836,1125725016,129457623,4110770057,1264281278,122660876,3481316977,319762408,887912101,772333739,239467674,880006253,612713963,2448393832,322617259,61403092,45720709,305513645,1063005142,10055384,17558164,60924550,491498088,656187478,273063988,4997169278,1803361082,83721339,74405402,7255502
p,650451934,307036,3297675,1430057132,1378032959,262936223,51626842,315195896,430548306,1008270341,474438578,1039479664,200411012,29921048,9737350,10798890,254717180,715111,5520926,957887036,16732907,396713,1076078,19479523,3041407,7062475,7196697,64008482,43222446,71203926,5469653
a,2523132390,12854624,196110722,43378615,3424855335,4340617757,944161775,407471244,1035634384,15973824,604431700,24816073,2537488919,1110425194,270985354,670451871,69513005,37183003,467467901,3265530989,11212278,67728678,60119353,1446323778,726257147,750052728,6119729374,1025110739,100136248,91406867,6538475
s,9241339770,25241118,88315437,2681331082,26643397,3429428110,165524976,854770216,1698212872,1284790413,596477921,741352873,1159666324,44687433,50133458,10247042,979417268,1639096,173980725,171588138,100048818,1929735,1355890,454685638,7312972,30991507,93894599,171280510,836572409,849514750,46054989
d,6821984568,2576427,30941929,2226690438,316499371,12913324,160155066,430456293,1419518788,739918296,12832548,708063994,406988875,181983440,18220704,85375747,19567957,15077014,2667910,107591216,31276974,1618148,1297896,21061913,75825944,18780620,75913331,48821228,259519160,300617898,21958284
f,2549813588,185997,2047667,776601515,667150096,269243798,33359474,335845077,922728867,1652782140,3634663,497463058,20006781,3668183,476252409,4049926,1439357,550144,882666,197874918,3188430,256739,1253811,6962618,442323,3649245,2098114,4237593,24223793,33117961,2709968
g,2778664718,341946,4703487,1264398168,574695335,42450343,87084909,256048290,474967121,515140440,6457630,524593755,196817671,8896861,6081017,91845519,727212055,587314,1625312,180069096,16269571,865923,474378,3530183,825913,9831619,205717485,21255417,140514274,142917877,14867877
h,1935156439,2069558,16364809,7592480276,259430370,428959949,138507764,190012346,2078122116,1584225753,8521009,2858500810,52803827,19282435,6186965,1919005,4377002,580967,2561802,52939065,9115223,2548738,325903,11072699,2797720,17615344,85288610,31123908,94802187,84933502,6405655
j,14386136,240758,541032,139642660,3802535,716003,408737,253300328,19759147,204771116,2769020,105528065,2567842,1141549,642015,354550,916494,871080,850360,733515,449665,135264,111986,1419276,689021,792197,1063434,1052881,2262096,10507399,208664
k,837641088,174550,8216759,958283317,18657155,11093727,36713742,23444891,472561928,46808017,8753149,101224201,223771812,5644742,12991686,10750885,14757086,1778089,4776756,53056154,7838312,292432,279417,3946770,1364027,7626880,165503943,9293247,72784076,72963208,7158578
l,2620350044,415041,46428452,2694715060,34420172,367213429,1243613028,412821817,2045290752,1356126590,118993649,1576628236,522970250,723278114,125199261,18377333,7038521,1350374,85876790,2130494835,13467955,2704372,670190,44099048,85893209,35144841,17986129,83202727,142912352,135868858,9624136
;,567493689,48829,408522,462200,452776,864682,152541,170741,597106,342052,629507,1150257,881958,747120,379343,313270,486154,138339,98556,359312,1495849,32392,72599,662175,176469,405450,448767,461747,217480,669049,16263775
z,35850338,221018,834072,166245727,924808,985324,11684944,8056151,59437479,34753598,611231,72416941,961442,954565,494927,755327,4774078,109833,927694,6060127,699082,19907629,183047,701112,619043,1378736,1084219,1488302,5949405,4058432,439663
x,154830959,822865,766541,60045779,782400,139069618,9986383,16868214,86797539,7295676,207504722,78038737,1688121,818619,2997093,327568,11281875,179969,172556,2521473,2047025,164433,5463920,71170282,1169932,2573646,555268,2155522,12090092,12434089,1245479
c,435735641,11418816,1841061,1858115400,509886799,1228433831,119892555,470718181,751867807,2415180092,8521005,1775685728,84408067,12957568,5117776,5029172,1722992787,869677,615563657,538952518,3852324,3018524,802453,241973531,2792550,11193595,8245970,11473202,29859822,55493130,3489184
v,47602610,111577,558799,2693870666,5404881,1901068,15275396,7393029,957431769,187119701,4190960,389970415,11084950,4747249,915501,1326546,858398,201530,477905,2873953,780306,193368,322225,3091035,1505873,1163915,1423539,2082069,4780600,13871420,1812510
b,136619490,1072450,2809747,1680561415,375442750,32002988,390964213,652780169,405376999,710922770,5407198,622379554,136868503,10730619,1982014,1736749,6743014,31121812,909897,707070575,1967177,451412,479162,15196535,10124600,44767999,6379205,18366385,11943064,20464507,2159937
n,6327609216,9125100,18837412,2255840336,25686685,2989255817,358943698,261255353,1058939598,1223647436,21024429,1066666847,1398437763,4014937453,209701414,3538732547,35527308,53323240,237301555,218759486,37925060,14603469,6812149,1093644553,163664745,25342189,309300046,78508654,321893426,303158251,20824992
m,1189930425,411526,5533258,2468704447,26237299,8619859,258161633,329907709,960663830,1081958498,719970516,1791834007,253300014,7418378,21846031,7019545,3778932,1117702,2093918,20178555,10534333,862810,1025124,26799196,2636978,276764278,20257782,307498560,88618447,128010381,17183025
",",4252799275,72254,821324,680736,490788,1312797,243297,302300,1072984,429071,924777,1553716,1412913,680034,664832,384896,745706,243531,193675,627721,85301,65822,85774,1018706,234148,1169881,501605,749917,1051134,1286783,1191450
.,4304861162,312015,5122126,9213826,4840019,10339044,2331916,3400200,8865884,13204800,6526557,11798251,30464832,6683709,3949935,8673025,5574194,3666073,2262028,7429009,3769037,481091,859994,47851674,2015159,5239734,6316096,18099784,28293907,133069953,1193347
/,272793323,500564,12157861,4635570,4562133,6434917,921761,2525914,4402434,9166209,7677052,7837549,11541273,6605274,4354919,3690987,4947018,1773244,1411355,4105386,371391,304857,491998,8778046,2314996,5338555,3318193,6779254,702897,2048581,21986904
